Date,Temp_Mean,Temp_Max,Temp_Min,Relative_Humidity,Dew_Point,Precipitation,Snowfall,Rainfall_Est,Snow_Depth,Solar_Level,Cloud_Amount,Wind_Speed
2017-01-01,-14.451714285714285,-10.26,-18.959142857142858,96.46057142857143,-15.137142857142855,0.8305714285714286,0.6237142857142857,0.20685714285714296,27.94342857142857,37.785428571428575,70.65,3.2325714285714287
2017-01-02,-14.757428571428571,-11.150285714285713,-18.173428571428573,96.25885714285714,-15.437142857142856,0.24514285714285713,0.35742857142857143,0.0,27.84742857142857,43.55514285714286,54.77,2.6957142857142857
2017-01-03,-14.47257142857143,-12.228,-16.87942857142857,98.46428571428571,-14.848285714285716,3.591142857142857,4.227714285714286,0.0,28.198285714285714,22.74,84.11514285714286,2.5674285714285716
2017-01-04,-17.178285714285714,-13.561428571428571,-20.994571428571426,97.00714285714285,-17.664571428571428,3.890285714285714,3.968857142857143,0.0,29.862000000000002,27.41542857142857,87.99228571428571,4.123714285714286
2017-01-05,-20.46542857142857,-18.203714285714284,-22.366,96.43314285714285,-20.90142857142857,1.0422857142857143,1.2611428571428571,0.0,30.585428571428572,36.765142857142855,81.91,4.5851428571428565
2017-01-06,-21.66942857142857,-18.196285714285715,-25.19857142857143,96.63285714285715,-22.09114285714286,0.32,0.5831428571428572,0.0,30.48885714285714,45.49342857142857,66.08114285714286,3.0914285714285716
2017-01-07,-21.63657142857143,-18.110285714285716,-25.122857142857143,96.7282857142857,-22.07857142857143,0.35057142857142853,0.5788571428571428,0.0,30.33971428571429,48.266,55.033142857142856,2.9028571428571426
2017-01-08,-21.889714285714284,-17.248285714285714,-25.827714285714286,97.35428571428572,-22.232285714285712,0.5554285714285715,0.7208571428571429,0.0,30.22485714285714,48.22428571428571,61.96714285714285,3.2122857142857146
2017-01-09,-18.555714285714288,-13.939714285714285,-23.690285714285714,97.33885714285715,-19.05742857142857,1.348857142857143,1.3177142857142856,0.03114285714285736,30.560857142857145,44.46971428571429,71.56085714285715,3.2417142857142855
2017-01-10,-14.168571428571427,-8.915714285714285,-19.479142857142858,97.87028571428571,-14.662857142857144,4.629142857142857,6.314571428571428,0.0,31.15685714285714,21.517142857142858,91.91,3.521142857142857
2017-01-11,-12.895714285714286,-8.523714285714286,-16.70057142857143,96.09285714285714,-13.617714285714285,4.629142857142857,4.982571428571428,0.0,34.00028571428572,41.274857142857144,81.234,5.7291428571428575
2017-01-12,-19.89457142857143,-14.221714285714285,-25.546857142857142,97.01514285714286,-20.294,2.245142857142857,1.9037142857142857,0.3414285714285714,34.34028571428572,42.55657142857143,62.06942857142857,3.7234285714285713
2017-01-13,-23.047142857142855,-18.146857142857144,-28.038857142857143,95.06085714285715,-23.705714285714286,0.554,0.2894285714285714,0.2645714285714286,34.342285714285715,61.58371428571428,45.38314285714286,4.185142857142857
2017-01-14,-18.547428571428572,-13.837714285714286,-24.29114285714286,95.91971428571429,-19.196285714285715,0.40485714285714286,0.5254285714285715,0.0,34.145714285714284,45.81371428571428,68.30457142857142,3.281142857142857
2017-01-15,-15.246,-7.879714285714285,-21.433142857142855,96.97428571428571,-15.884857142857143,0.33742857142857147,0.4722857142857143,0.0,33.88942857142857,45.998285714285714,62.14628571428571,3.086
2017-01-16,-8.683142857142856,-4.827714285714285,-12.744285714285715,97.37914285714285,-9.434571428571427,0.2582857142857143,0.2682857142857143,0.0,33.616571428571426,50.016571428571424,64.90342857142856,2.9131428571428573
2017-01-17,-8.694285714285714,-4.289142857142857,-12.017428571428573,98.26142857142857,-9.296857142857142,1.1297142857142857,0.7348571428571429,0.3948571428571428,33.23914285714285,35.40742857142857,83.11457142857142,3.1719999999999997
2017-01-18,-3.826285714285715,-1.1805714285714286,-6.494857142857143,98.11885714285714,-4.406000000000001,1.0925714285714285,0.6971428571428571,0.39542857142857146,32.80085714285714,33.43714285714285,83.794,3.5382857142857143
2017-01-19,-3.0014285714285713,0.01342857142857141,-5.946571428571429,98.10457142857142,-3.5237142857142856,0.518,0.532,0.0,32.40971428571428,34.426857142857145,85.35114285714286,2.6551428571428572
2017-01-20,-1.401142857142857,0.15685714285714283,-3.0665714285714287,98.27742857142857,-1.7851428571428574,0.37,0.49228571428571427,0.0,31.734285714285715,27.510285714285715,79.71285714285713,2.3865714285714286
2017-01-21,-2.1022857142857143,-0.5517142857142857,-3.6599999999999997,98.99057142857143,-2.4017142857142857,1.4965714285714287,1.3171428571428572,0.1794285714285715,31.145428571428567,24.998857142857144,88.65114285714286,2.0820000000000003
2017-01-22,-3.2857142857142856,-1.4391428571428573,-5.142857142857143,99.016,-3.623142857142857,1.6700000000000002,1.9811428571428573,0.0,31.038285714285713,26.435142857142857,90.51542857142857,2.5462857142857143
2017-01-23,-4.234571428571429,-1.6377142857142857,-6.2865714285714285,97.94571428571429,-4.802285714285714,1.7185714285714286,2.1448571428571426,0.0,31.300571428571427,29.096857142857143,90.82885714285713,2.7045714285714286
2017-01-24,-4.573142857142857,-2.0994285714285716,-6.845999999999999,97.35,-5.27,1.5177142857142856,1.5451428571428572,0.0,31.625428571428575,29.691714285714287,93.24342857142857,2.0074285714285716
2017-01-25,-5.524571428571429,-2.6197142857142857,-7.991142857142857,97.66514285714287,-6.256857142857143,1.3477142857142859,1.3502857142857143,0.0,31.91342857142857,34.795428571428566,90.928,2.3974285714285712
2017-01-26,-7.454,-4.800285714285714,-9.529714285714286,97.61142857142858,-8.197428571428572,1.410857142857143,1.310857142857143,0.10000000000000009,32.208,40.74314285714286,88.33857142857143,3.883142857142857
2017-01-27,-9.822571428571429,-7.7368571428571435,-11.976285714285714,95.88971428571428,-10.803714285714285,0.8557142857142856,1.2739999999999998,0.0,32.34,36.621428571428574,86.61657142857143,4.1971428571428575
2017-01-28,-11.602,-8.85,-14.152,96.09371428571428,-12.485714285714286,1.1277142857142857,1.3719999999999999,0.0,32.44542857142857,48.32142857142857,86.00857142857143,3.9697142857142858
2017-01-29,-15.70342857142857,-13.291142857142857,-18.118285714285715,95.49085714285714,-16.513714285714286,0.5645714285714286,0.6408571428571429,0.0,32.57085714285714,58.23771428571428,83.68485714285714,3.254857142857143
2017-01-30,-18.072,-13.211714285714285,-22.236571428571427,95.288,-18.846285714285713,0.3171428571428571,0.47828571428571426,0.0,32.460857142857144,60.152571428571434,73.16542857142856,2.1528571428571426
2017-01-31,-14.354,-10.703142857142858,-17.56742857142857,95.96485714285714,-15.168857142857142,0.9700000000000001,1.2677142857142856,0.0,32.50942857142857,60.225428571428566,74.87914285714285,2.419142857142857
2017-02-01,-17.031142857142857,-12.842285714285715,-20.217714285714287,96.20771428571429,-17.712857142857143,0.9157142857142856,1.161714285714286,0.0,32.75628571428572,71.01285714285714,65.77085714285714,3.6505714285714284
2017-02-02,-19.766857142857145,-17.13142857142857,-22.57257142857143,95.37628571428571,-20.460285714285714,0.8037142857142857,0.7005714285714285,0.1031428571428572,32.840857142857146,71.85771428571428,59.585142857142856,3.9642857142857144
2017-02-03,-17.398857142857143,-13.339714285714285,-20.505714285714287,95.41571428571429,-18.154857142857143,0.49828571428571433,0.5125714285714286,0.0,32.83542857142857,74.73085714285715,63.30314285714286,4.198285714285714
2017-02-04,-14.203714285714286,-11.283428571428573,-17.078,96.03228571428572,-15.033428571428571,0.6137142857142858,0.744,0.0,32.82514285714286,67.356,78.34457142857143,3.452
2017-02-05,-14.548857142857143,-11.754285714285714,-17.480285714285717,96.10257142857144,-15.304285714285713,1.9508571428571428,1.5877142857142856,0.3631428571428572,33.38628571428571,72.96114285714286,73.14228571428572,3.609142857142857
2017-02-06,-18.77342857142857,-15.075142857142858,-22.563714285714287,95.44228571428572,-19.500857142857143,1.0277142857142856,1.0425714285714287,0.0,33.80285714285714,75.75771428571429,72.35114285714286,2.282285714285714
2017-02-07,-19.297714285714285,-14.85142857142857,-22.756857142857143,97.66028571428572,-19.65,2.338857142857143,3.1645714285714286,0.0,34.09771428571429,60.69799999999999,80.06257142857143,2.9374285714285713
2017-02-08,-18.190571428571428,-14.450857142857144,-21.756857142857143,96.17571428571429,-18.762285714285714,2.136857142857143,2.5285714285714285,0.0,35.30114285714286,90.04428571428572,62.024,3.891142857142857
2017-02-09,-19.103428571428573,-16.014,-22.01742857142857,95.13714285714286,-19.8,0.8602857142857143,0.5448571428571428,0.3154285714285715,35.38885714285714,89.33228571428572,65.40142857142858,3.4417142857142857
2017-02-10,-18.116857142857143,-11.931714285714285,-24.49657142857143,95.95800000000001,-18.775142857142857,2.922571428571428,3.392857142857143,0.0,35.84314285714286,72.33028571428571,74.56942857142856,3.2342857142857144
2017-02-11,-14.567428571428572,-9.954857142857144,-19.606571428571428,97.824,-15.059428571428572,0.7891428571428571,0.7894285714285714,0.0,36.93828571428571,91.66257142857143,61.38142857142857,2.386285714285714
